# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 26 11:12:22 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_masse < 6
# CONSTRAINT:  and pl_masseerr1 > 0
# CONSTRAINT:  and pl_masseerr2 < 0
# CONSTRAINT:  and pl_rade < 1.7
# CONSTRAINT:  and pl_radeerr1 > 0
# CONSTRAINT:  and pl_radeerr2 < 0)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility
K-138,b,K-138 b,10.31260000,0.00040000,-0.00060000,0,2.60000,2.40000,-1.50000,0,0.06600,0.05900,-0.03700,0,0.522,0.032,-0.032,0,Kepler
TRAPPIST-1,d,TRAPPIST-1 d,4.04961000,0.00006300,-0.00006300,0,4.90000,3.30000,-3.30000,0,0.41000,0.27000,-0.27000,0,0.772,0.030,-0.030,0,La Silla Observatory
K-406,c,K-406 c,4.62332000,,,0,24.39000,16.13000,-16.13000,0,2.71000,1.80000,-1.80000,0,0.850,0.030,-0.030,0,Kepler
TRAPPIST-1,e,TRAPPIST-1 e,6.09961500,0.00001100,-0.00001100,0,4.40000,4.20000,-4.20000,0,0.62000,0.58000,-0.58000,0,0.918,0.039,-0.039,0,Multiple Observatories
TRAPPIST-1,f,TRAPPIST-1 f,9.20669000,0.00001500,-0.00001500,0,3.30000,0.94000,-0.94000,0,0.68000,0.18000,-0.18000,0,1.045,0.038,-0.038,0,Multiple Observatories
TRAPPIST-1,c,TRAPPIST-1 c,2.42182330,0.00000170,-0.00000170,0,6.45000,2.92000,-2.92000,0,1.38000,0.61000,-0.61000,0,1.056,0.035,-0.035,0,La Silla Observatory
TRAPPIST-1,b,TRAPPIST-1 b,1.51087081,0.00000060,-0.00000060,0,3.60000,3.10000,-3.10000,0,0.85000,0.72000,-0.72000,0,1.086,0.035,-0.035,0,La Silla Observatory
TRAPPIST-1,g,TRAPPIST-1 g,12.35294000,0.00012000,-0.00012000,0,5.20000,3.50000,-3.50000,0,1.34000,0.88000,-0.88000,0,1.127,0.041,-0.041,0,Multiple Observatories
K-102,d,K-102 d,10.31170000,,,0,13.27000,6.46000,-6.46000,0,3.80000,1.80000,-1.80000,0,1.180,0.040,-0.040,0,Kepler
GJ 1252,b,GJ 1252 b,0.51823490,0.00000630,-0.00000500,0,,,,0,2.09000,0.56000,-0.56000,0,1.193,0.074,-0.074,0,Transiting Exoplanet Survey Satellite (TESS)
K-138,c,K-138 c,13.78130000,0.00010000,-0.00010000,0,6.20000,5.80000,-3.40000,0,1.97000,1.91200,-1.12000,0,1.197,0.070,-0.070,0,Kepler
K-138,d,K-138 d,23.08810000,0.00090000,-0.00080000,0,2.10000,2.20000,-1.20000,0,0.64000,0.67400,-0.38700,0,1.212,0.075,-0.075,0,Kepler
GJ 357,b,GJ 357 b,3.93072000,0.00008000,-0.00006000,0,5.60000,1.70000,-1.30000,0,1.84000,0.31000,-0.31000,0,1.217,0.084,-0.083,0,Transiting Exoplanet Survey Satellite (TESS)
LHS 1140,c,LHS 1140 c,3.77793100,0.00000300,-0.00000300,0,4.70000,1.10000,-1.10000,0,1.81000,0.39000,-0.39000,0,1.282,0.024,-0.024,0,Multiple Observatories
#K-105,c,K-105 c,7.12620000,0.00020000,-0.00020000,0,11.20000,3.00000,-2.56000,0,4.60000,0.92000,-0.85000,0,1.310,0.070,-0.070,0,Kepler
K-105,c,K-105 c,7.12620000,0.00020000,-0.00020000,0,11.20000,3.00000,-2.56000,0,4.70000,0.92000,-0.88000,0,1.710,0.082,-0.258,0,Kepler
K-128,c,K-128 c,22.80400000,,,0,2.07000,1.41000,-0.72000,0,0.90000,0.58000,-0.29000,0,1.340,0.080,-0.080,0,Kepler
LTT 1445 A,b,LTT 1445 A b,5.35882000,0.00030000,-0.00031000,0,4.40000,4.00000,-4.20000,0,2.20000,1.70000,-2.10000,0,1.380,0.130,-0.120,0,Transiting Exoplanet Survey Satellite (TESS)
L 168-9,b,L 168-9 b,1.40150000,0.00018000,-0.00018000,0,9.60000,2.40000,-1.80000,0,4.60000,0.56000,-0.56000,0,1.390,0.090,-0.090,0,Transiting Exoplanet Survey Satellite (TESS)
K2-36,b,K2-36 b,1.42261400,0.00003800,-0.00003800,0,7.20000,2.50000,-2.10000,0,3.90000,1.10000,-1.10000,0,1.430,0.080,-0.080,0,K2
K-128,b,K-128 b,15.09000000,,,0,1.46000,0.95000,-0.51000,0,0.77000,0.48000,-0.25000,0,1.430,0.090,-0.090,0,Kepler
K-97,b,K-97 b,2.58664000,,,0,5.44000,3.48000,-3.48000,0,3.51000,1.90000,-1.90000,0,1.480,0.130,-0.130,0,Kepler
K-10,b,K-10 b,0.83749100,0.00000200,-0.00000200,0,8.00000,3.00000,-3.00000,0,4.60853,1.27132,-1.46202,0,1.481,0.049,-0.029,0,Kepler
K-36,b,K-36 b,13.83989000,0.00082000,-0.00060000,0,7.46000,0.74000,-0.59000,0,4.45000,0.33000,-0.27000,0,1.486,0.035,-0.035,0,Kepler
#K2-141,b,K2-141 b,0.28032440,0.00000150,-0.00000150,0,8.20000,1.10000,-1.10000,0,5.08000,0.41000,-0.41000,0,1.510,0.050,-0.050,0,K2
HD 219134,c,HD 219134 c,6.76458000,0.00033000,-0.00033000,0,6.95000,0.77000,-0.77000,0,4.36000,0.22000,-0.22000,0,1.511,0.047,-0.047,0,Roque de los Muchachos Observatory
K-107,b,K-107 b,3.18002180,0.00000290,-0.00000290,0,5.30000,2.30000,-2.30000,0,3.51000,1.52000,-1.52000,0,1.536,0.025,-0.025,0,Kepler
GJ 9827,b,GJ 9827 b,1.20898190,0.00000693,-0.00000714,0,6.93000,0.82000,-0.76000,0,4.91000,0.49000,-0.49000,0,1.577,0.027,-0.031,0,K2
K-114,c,K-114 c,8.04100000,,,0,,,,,2.80000,0.60000,-0.60000,0,1.600,0.180,-0.180,0,Kepler
K-80,e,K-80 e,4.64489000,0.00020000,-0.00019000,0,3.75000,0.89000,-0.97000,0,4.13000,0.81000,-0.95000,0,1.600,0.080,-0.070,0,Kepler
HD 219134,b,HD 219134 b,3.09292600,0.00001000,-0.00001000,0,6.34000,0.72000,-0.72000,0,4.74000,0.19000,-0.19000,0,1.602,0.055,-0.055,0,Roque de los Muchachos Observatory
HD 80653,b,HD 80653 b,0.71957300,0.00002100,-0.00002100,0,7.40000,1.10000,-1.10000,0,5.60000,0.43000,-0.43000,0,1.613,0.071,-0.071,0,K2
K-21,b,K-21 b,2.78578000,0.00003000,-0.00003000,0,6.40000,2.10000,-2.10000,0,5.08000,1.72000,-1.72000,0,1.639,0.019,-0.015,0,Kepler
