chi2,fratio,logg,teff1,teff2,dlogchi2,KEPLER_surface,KEPLER_spot,IRAC_CH1_surface,IRAC_CH1_spot,IRAC_CH2_surface,IRAC_CH2_spot,SPECULOOS_surface,SPECULOOS_spot,PANSTARRS_G_surface,PANSTARRS_G_spot,PANSTARRS_R_surface,PANSTARRS_R_spot,PANSTARRS_I_surface,PANSTARRS_I_spot,PANSTARRS_Z_surface,PANSTARRS_Z_spot,PANSTARRS_Y_surface,PANSTARRS_Y_spot,2MASS_J_surface,2MASS_J_spot,2MASS_H_surface,2MASS_H_spot,2MASS_KS_surface,2MASS_KS_spot,WISE_W1_surface,WISE_W1_spot,WISE_W2_surface,WISE_W2_spot,WISE_W3_surface,WISE_W3_spot,WISE_W4_surface,WISE_W4_spot
39181.31951290073,0.0,5.208396580093247,2000.0,2000.0,2.1909655263906753,3.437405697143331e-13,3.437405697143331e-13,1.0214060176801296e-12,1.0214060176801296e-12,6.320481815381598e-13,6.320481815381598e-13,1.2860304253061735e-12,1.2860304253061735e-12,4.409505549249033e-15,4.409505549249033e-15,3.871879475029438e-14,3.871879475029438e-14,2.507873777473408e-13,2.507873777473408e-13,7.518448533786781e-13,7.518448533786781e-13,7.106719991039507e-13,7.106719991039507e-13,4.568264738906524e-12,4.568264738906524e-12,4.66753894425992e-12,4.66753894425992e-12,2.610725852718019e-12,2.610725852718019e-12,2.14373976634896e-12,2.14373976634896e-12,1.2142735559525034e-12,1.2142735559525034e-12,2.9641722065622906e-13,2.9641722065622906e-13,1.830341622654989e-14,1.830341622654989e-14
46117.88652397407,0.0,5.208396580093247,2020.0,2020.0,2.2617558650779825,3.3387171214578565e-13,3.3387171214578565e-13,1.023493717121607e-12,1.023493717121607e-12,6.149733527532428e-13,6.149733527532428e-13,1.2976823857275969e-12,1.2976823857275969e-12,3.990877863725187e-15,3.990877863725187e-15,3.8465899348829053e-14,3.8465899348829053e-14,2.3818456543707027e-13,2.3818456543707027e-13,7.535697302246146e-13,7.535697302246146e-13,7.334883779943528e-13,7.334883779943528e-13,4.817292279156935e-12,4.817292279156935e-12,4.897306796606028e-12,4.897306796606028e-12,2.657911738127954e-12,2.657911738127954e-12,2.127857355435305e-12,2.127857355435305e-12,1.1751032392822127e-12,1.1751032392822127e-12,2.901239346962797e-13,2.901239346962797e-13,1.7827419104728043e-14,1.7827419104728043e-14
53909.56581268262,0.0,5.208396580093247,2040.0,2040.0,2.3295523027480547,3.2521379734098067e-13,3.2521379734098067e-13,1.0256945273085099e-12,1.0256945273085099e-12,5.988104876730541e-13,5.988104876730541e-13,1.310940287892034e-12,1.310940287892034e-12,3.621924478948117e-15,3.621924478948117e-15,3.8474832230144035e-14,3.8474832230144035e-14,2.268157351350409e-13,2.268157351350409e-13,7.556661413682361e-13,7.556661413682361e-13,7.569002566300639e-13,7.569002566300639e-13,5.078265284277003e-12,5.078265284277003e-12,5.137460911625043e-12,5.137460911625043e-12,2.7058105434193142e-12,2.7058105434193142e-12,2.1129011068550245e-12,2.1129011068550245e-12,1.1379112226684948e-12,1.1379112226684948e-12,2.8402969568836345e-13,2.8402969568836345e-13,1.7368335781626766e-14,1.7368335781626766e-14
62457.98250861517,0.0,5.208396580093247,2060.0,2060.0,2.393474420434191,3.1761458305538814e-13,3.1761458305538814e-13,1.028005325222784e-12,1.028005325222784e-12,5.835032487944012e-13,5.835032487944012e-13,1.325710327737829e-12,1.325710327737829e-12,3.29595483158206e-15,3.29595483158206e-15,3.8698821759321024e-14,3.8698821759321024e-14,2.1655089549214762e-13,2.1655089549214762e-13,7.581213487424778e-13,7.581213487424778e-13,7.809189146785691e-13,7.809189146785691e-13,5.351651248553329e-12,5.351651248553329e-12,5.388395832591541e-12,5.388395832591541e-12,2.7544237395915137e-12,2.7544237395915137e-12,2.098819613004722e-12,2.098819613004722e-12,1.1025768656277284e-12,1.1025768656277284e-12,2.781262312478547e-13,2.781262312478547e-13,1.6925407476305904e-14,1.6925407476305904e-14
71648.89039493246,0.0,5.208396580093247,2080.0,2080.0,2.4530959377063644,3.1095197579445385e-13,3.1095197579445385e-13,1.0304231224705632e-12,1.0304231224705632e-12,5.689993369807004e-13,5.689993369807004e-13,1.3419135241237335e-12,1.3419135241237335e-12,3.007264078613506e-15,3.007264078613506e-15,3.9103920839044374e-14,3.9103920839044374e-14,2.0727959884936463e-13,2.0727959884936463e-13,7.609234886419172e-13,7.609234886419172e-13,8.055557540293783e-13,8.055557540293783e-13,5.637932035903181e-12,5.637932035903181e-12,5.650517893679045e-12,5.650517893679045e-12,2.8037528571792553e-12,2.8037528571792553e-12,2.0855649559331786e-12,2.0855649559331786e-12,1.0689880660657488e-12,1.0689880660657488e-12,2.7240569225072725e-13,2.7240569225072725e-13,1.6497916384182075e-14,1.6497916384182075e-14
81356.35111842764,0.0,5.208396580093247,2100.0,2100.0,2.5082779306916665,3.051271448471329e-13,3.051271448471329e-13,1.0329450581124247e-12,1.0329450581124247e-12,5.552501645061277e-13,5.552501645061277e-13,1.3594831326392262e-12,1.3594831326392262e-12,2.7509771487290884e-15,2.7509771487290884e-15,3.9665474784785653e-14,3.9665474784785653e-14,1.989074713689974e-13,1.989074713689974e-13,7.640615061316827e-13,7.640615061316827e-13,8.308222991154637e-13,8.308222991154637e-13,5.937604195803081e-12,5.937604195803081e-12,5.924245468027122e-12,5.924245468027122e-12,2.8537994826487557e-12,2.8537994826487557e-12,2.0730924334232333e-12,2.0730924334232333e-12,1.0370405766133192e-12,1.0370405766133192e-12,2.6686062722433566e-13,2.6686062722433566e-13,1.6085183096933726e-14,1.6085183096933726e-14
75648.62328496376,0.0,5.208396580093247,2120.0,2120.0,2.4766874974981734,3.2473238261133414e-13,3.2473238261133414e-13,1.0538647551932887e-12,1.0538647551932887e-12,5.709750653726602e-13,5.709750653726602e-13,1.4353036296327709e-12,1.4353036296327709e-12,2.998269576716299e-15,2.998269576716299e-15,4.1320047180269054e-14,4.1320047180269054e-14,2.1354681565277458e-13,2.1354681565277458e-13,8.09856589362818e-13,8.09856589362818e-13,8.715306053484784e-13,8.715306053484784e-13,6.123311117915205e-12,6.123311117915205e-12,6.105787268385739e-12,6.105787268385739e-12,2.9494077494131153e-12,2.9494077494131153e-12,2.1206471089698955e-12,2.1206471089698955e-12,1.0679385717097522e-12,1.0679385717097522e-12,2.7097565823821184e-13,2.7097565823821184e-13,1.6380490578418396e-14,1.6380490578418396e-14
70146.59460679647,0.0,5.208396580093247,2140.0,2140.0,2.443893060976123,3.4563685607210546e-13,3.4563685607210546e-13,1.0750124225315356e-12,1.0750124225315356e-12,5.870251413306455e-13,5.870251413306455e-13,1.5148253066683513e-12,1.5148253066683513e-12,3.268803154761462e-15,3.268803154761462e-15,4.3101853424841686e-14,4.3101853424841686e-14,2.2927093357893345e-13,2.2927093357893345e-13,8.580004195515894e-13,8.580004195515894e-13,9.138462621349628e-13,9.138462621349628e-13,6.313223816392045e-12,6.313223816392045e-12,6.291233158639831e-12,6.291233158639831e-12,3.047306508624989e-12,3.047306508624989e-12,2.1688992036042894e-12,2.1688992036042894e-12,1.0994994900577085e-12,1.0994994900577085e-12,2.7511707069038393e-13,2.7511707069038393e-13,1.6678381664292444e-14,1.6678381664292444e-14
64865.20906452261,0.0,5.208396580093247,2160.0,2160.0,2.409898290894149,3.679327013611562e-13,3.679327013611562e-13,1.0963885175654567e-12,1.0963885175654567e-12,6.034048118530595e-13,6.034048118530595e-13,1.598211415610072e-12,1.598211415610072e-12,3.564770530509145e-15,3.564770530509145e-15,4.5027701822764874e-14,4.5027701822764874e-14,2.4615761102573384e-13,2.4615761102573384e-13,9.085945857313736e-13,9.085945857313736e-13,9.578179414749686e-13,9.578179414749686e-13,6.507405374957416e-12,6.507405374957416e-12,6.480633768174884e-12,6.480633768174884e-12,3.1475295012822702e-12,3.1475295012822702e-12,2.2178544875786157e-12,2.2178544875786157e-12,1.1317323226657805e-12,1.1317323226657805e-12,2.7928482556356476e-13,2.7928482556356476e-13,1.6978854700140555e-14,1.6978854700140555e-14
59818.41833658688,0.0,5.208396580093247,2180.0,2180.0,2.374721394343684,3.9172027374767014e-13,3.9172027374767014e-13,1.1179934959022446e-12,1.1179934959022446e-12,6.201185258990725e-13,6.201185258990725e-13,1.6856324338986024e-12,1.6856324338986024e-12,3.888566173133845e-15,3.888566173133845e-15,4.711738863274446e-14,4.711738863274446e-14,2.642902074123644e-13,2.642902074123644e-13,9.61744335534108e-13,9.61744335534108e-13,1.003495358538295e-12,1.003495358538295e-12,6.7059194703128314e-12,6.7059194703128314e-12,6.674040010791118e-12,6.674040010791118e-12,3.2501106704204544e-12,3.2501106704204544e-12,2.267518771251485e-12,2.267518771251485e-12,1.1646461154222185e-12,1.1646461154222185e-12,2.834788845321363e-13,2.834788845321363e-13,1.7281908049747563e-14,1.7281908049747563e-14
